"ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
14,14,"MixedInt","Species","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedInt_Species",-0.24737,1.75485,0.51423,2.06626,NA,4.75572,4.77859,1.02282,NA,4.77859
14,14,"MixedIntSlope","Species","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedIntSlope_Species",-0.15035,1.75215,0.53677,2.32915,NA,1.33811,1.4125,1.07252,NA,1.4125
14,14,"MixedIntSlope","Site","DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"14.MixedIntSlope_Site",-0.39306,1.8351,0.45907,2.01903,NA,1.0397,1.08294,1.04731,NA,1.08294
15,15,"MixedIntSlope","Species&Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedIntSlope_Species&Site",-1.53944,1.71596,1.26767,0.4684,NA,1.01879,1.01935,1.01496,NA,1.01935
15,15,"MixedInt","Species","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedInt_Species",-0.8747,1.40968,1.34165,0.3278,NA,5.32366,5.27264,1.0657,NA,5.32366
15,15,"MixedIntSlope","Species","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedIntSlope_Species",-0.86662,1.4773,1.26858,0.68512,NA,1.02423,1.02005,1.01785,NA,1.02423
15,15,"MixedIntSlope","Site","Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.MixedIntSlope_Site",-1.47846,1.71238,1.28211,0.58518,NA,1.02771,1.0336,1.02376,NA,1.0336
16,16,"MixedInt","Species&Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedInt_Species&Site",-0.98613,1.17539,0.87398,0.68041,1.89162,9.27681,5.30645,3.7976,1.09251,9.27681
16,16,"MixedIntSlope","Species&Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedIntSlope_Species&Site",-0.91587,1.39678,0.58734,0.59641,1.7997,1.85372,1.18341,1.65161,1.01414,1.85372
16,16,"MixedInt","Species","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedInt_Species",-0.8991,1.15082,0.83505,0.70763,1.8618,11.55534,5.10315,5.38479,1.08854,11.55534
16,16,"MixedIntSlope","Species","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedIntSlope_Species",-0.83634,1.17242,0.78828,0.70678,1.90708,3.98753,1.74401,2.96776,1.08629,3.98753
16,16,"MixedInt","Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedInt_Site",-0.98613,1.17539,0.87398,0.68041,1.89162,9.27681,5.30645,3.7976,1.09251,9.27681
16,16,"MixedIntSlope","Site","DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"16.MixedIntSlope_Site",-0.86619,1.46722,0.54627,0.53223,1.8326,1.23784,1.09341,1.19484,1.06078,1.23784
